"rt","m.z","p.value","mode"
0.458,50.00237,0.216405075210996,"positive"
1.027,53.34235,0.00730613709402864,"positive"
0.485,55.76253,0.49958348001666,"positive"
0.485,55.93758,0.552590258437823,"positive"
0.485,56.11194,0.559695505411622,"positive"
0.485,56.2868,0.602290292926757,"positive"
0.47,57.35893,0.286336684640019,"positive"
0.472,57.53322,0.00136479664640078,"positive"
4.086,57.95673,0.203212594375168,"positive"
0.479,65.31428,0.112862629106227,"positive"
0.485,65.50077,0.21971931562016,"positive"
4.092,70.46531,0.345356996567953,"positive"
0.492,73.68154,0.240006194586309,"positive"
0.493,73.87877,0.187801424238119,"positive"
2.191,81.43739,0.392462203566052,"positive"
2.191,81.63807,0.418818337673187,"positive"
2.191,81.84423,0.495813526661317,"positive"
2.19,82.04544,0.378124946471479,"positive"
0.463,83.23442,0.980308615228884,"positive"
2.202,85.7337,0.196577871733624,"positive"
2.195,85.93907,0.522052241644907,"positive"
3.701,86.09607,0.225319415280201,"positive"
3.527,86.09645,0.0817102685951595,"positive"
2.195,86.14651,0.517515329733365,"positive"
2.189,86.35745,0.243796918618572,"positive"
0.33,86.36432,0.577704959087563,"positive"
2.186,86.56921,0.430119162978034,"positive"
2.185,86.77545,0.445376494642337,"positive"
2.185,86.99001,0.419907973691018,"positive"
2.195,89.2694,0.398375716007039,"positive"
2.194,89.48473,0.397189666773565,"positive"
4.587,90.05481,0.427944043871024,"positive"
2.09,90.09123,0.817435653506656,"positive"
2.185,90.96675,0.974860167076179,"positive"
4.1,90.97636,0.0982186263361257,"positive"
0.392,91.05421,0.808953273155915,"positive"
2.184,91.1793,0.388582925656092,"positive"
2.181,91.39395,0.795670209326109,"positive"
2.18,91.60754,0.8807458488777,"positive"
2.18,91.82159,0.890601830640086,"positive"
2.177,92.0352,0.620105962763038,"positive"
0.453,92.23011,0.571293825360518,"positive"
0.456,92.43865,0.457527889322911,"positive"
0.44,92.65322,0.422080296731596,"positive"
0.714,93.04425,0.206798039405661,"positive"
1.58,94.06489,0.980677906163816,"positive"
0.405,95.04914,0.513239911123026,"positive"
0.362,95.08569,0.753988365972642,"positive"
0.486,96.04404,0.365100627453329,"positive"
0.897,96.04438,0.764002727966295,"positive"
1.576,96.04444,0.645091152280393,"positive"
2.178,96.10625,0.556442973229407,"positive"
2.178,96.32086,0.630240237444585,"positive"
2.176,96.53922,0.795582018338962,"positive"
2.176,96.75925,0.852971062516987,"positive"
2.174,96.97585,0.968230568775476,"positive"
0.566,97.03952,0.304769961856057,"positive"
0.343,97.06511,0.739907679075708,"positive"
2.174,97.19752,0.932070175720424,"positive"
0.31,100.07552,0.349821283836018,"positive"
0.565,100.07573,0.131344129842321,"positive"
1.245,100.07577,0.492960484452166,"positive"
0.465,100.07581,0.227959580631939,"positive"
1.709,100.11193,0.220174171282723,"positive"
1.258,101.10755,0.385228143812016,"positive"
2.173,101.34901,0.651731106876358,"positive"
2.173,101.57294,0.622642802574568,"positive"
