"rt","m.z","p.value","mode"
0.46,50.00237,0.235976144911406,"positive"
0.488,55.76253,0.893730790631159,"positive"
0.488,55.93758,0.939886244218304,"positive"
0.488,56.11194,0.919843366716828,"positive"
0.488,56.2868,0.899006889875096,"positive"
0.469,57.35893,0.0205399991119941,"positive"
0.467,57.53322,0.0302214843578584,"positive"
0.472,57.71062,0.110290539437296,"positive"
4.086,57.95673,0.559840984151535,"positive"
1.029,61.25168,0.206131708347982,"positive"
0.48,65.31428,0.183453312559161,"positive"
0.481,65.50077,0.0871348641721986,"positive"
4.092,70.46531,0.300955485923449,"positive"
0.492,73.68154,0.209945709957122,"positive"
0.493,73.87877,0.144980648545208,"positive"
2.191,81.43247,0.456532757102949,"positive"
2.191,81.63742,0.475436848300468,"positive"
2.191,81.84002,0.501691676779011,"positive"
2.191,82.04903,0.439267774630429,"positive"
0.463,83.23442,0.891270588929597,"positive"
2.205,85.52417,0.199077546114096,"positive"
2.204,85.73075,0.2420749527484,"positive"
2.196,85.93907,0.735597156174169,"positive"
3.699,86.09607,0.240574111224163,"positive"
3.526,86.09645,0.0821983076558022,"positive"
2.195,86.14725,0.643842852095617,"positive"
2.189,86.35745,0.593676511783445,"positive"
2.187,86.56921,0.288975157344531,"positive"
2.186,86.77431,0.431199168985174,"positive"
2.185,86.99001,0.210940858099382,"positive"
2.193,89.27232,0.405852024347596,"positive"
2.195,89.4879,0.535957308648441,"positive"
2.092,90.09153,0.394476890746081,"positive"
2.185,90.96675,0.622041576252105,"positive"
4.1,90.97671,0.950858109684218,"positive"
0.392,91.05428,0.981052218360966,"positive"
2.185,91.1793,0.263682461369321,"positive"
2.181,91.39395,0.754864153322301,"positive"
2.18,91.60754,0.648239353932025,"positive"
2.18,91.82159,0.922067971532268,"positive"
2.177,92.0352,0.980616029701562,"positive"
0.45,92.23011,0.908461813433568,"positive"
0.455,92.43865,0.988852092935221,"positive"
0.44,92.65322,0.643905069352296,"positive"
0.716,93.04496,0.290617217686157,"positive"
1.581,94.06483,0.281775141053324,"positive"
0.408,95.0489,0.457603889370962,"positive"
0.362,95.08532,0.250844070588013,"positive"
0.494,96.04421,0.564333314557784,"positive"
0.893,96.04453,0.713290320997781,"positive"
2.179,96.10625,0.389391419252877,"positive"
2.178,96.32086,0.379290572138929,"positive"
2.176,96.53922,0.602184973811384,"positive"
2.175,96.75925,0.769877648398136,"positive"
2.174,96.97585,0.895921371071402,"positive"
0.565,97.03973,0.186354225915859,"positive"
0.353,97.06511,0.382519232778728,"positive"
2.174,97.19752,0.795662007000124,"positive"
0.301,100.07545,0.872630428473052,"positive"
0.565,100.07573,0.169147923417197,"positive"
1.245,100.07577,0.868335350388968,"positive"
0.465,100.07581,0.610314506632933,"positive"
1.709,100.11193,0.0213397215167313,"positive"
0.378,101.05932,0.732726769505414,"positive"
1.258,101.10755,0.00174159301528913,"positive"
2.173,101.34901,0.519910156635968,"positive"
2.173,101.57294,0.41723823316527,"positive"
2.171,101.80002,0.621254852000947,"positive"
2.171,102.02307,0.668341150559565,"positive"
4.715,102.05488,0.292540514055982,"positive"
1.818,102.0912,0.874771664806511,"positive"
1.46,102.12749,0.365748861605686,"positive"
8.52,102.12765,0.444413438808485,"positive"
1.068,102.12773,0.686121602232506,"positive"
2.127,102.12773,0.269822734484525,"positive"
1.004,102.12774,0.743429954426433,"positive"
0.567,102.12774,0.422212890664073,"positive"
1.236,102.12778,0.702327345133985,"positive"
0.305,102.12779,0.462343784511661,"positive"
0.413,102.12785,0.0317609893094722,"positive"
2.231,102.12877,0.869866211673891,"positive"
2.169,102.24183,0.665358693088017,"positive"
2.166,102.46619,0.857540515170011,"positive"
2.164,102.68866,0.96696807457614,"positive"
4.169,103.0391,0.422855344339343,"positive"
0.391,103.05404,0.75483477980447,"positive"
3.398,103.05411,0.116941992639407,"positive"
1.874,103.32985,0.733432927881335,"positive"
2.182,104.10698,0.709985790309513,"positive"
1.872,104.1072,0.438326365999357,"positive"
1.873,104.26733,0.416125659394067,"positive"
1.873,104.3878,0.423259801461325,"positive"
1.873,104.43951,0.842356718270686,"positive"
1.867,104.5289,0.762524283371485,"positive"
1.87,104.57016,0.560410595129988,"positive"
1.871,104.71211,0.407736876245545,"positive"
1.677,105.03316,0.445599733984244,"positive"
0.47,105.03678,0.425088231775695,"positive"
0.376,105.07014,0.411224520947007,"positive"
5.207,106.04944,0.145987662325429,"positive"
2.691,106.08594,0.159343206534681,"positive"
3.299,106.08642,0.93527527083318,"positive"
1.233,106.08648,0.666327059497556,"positive"
2.167,106.7091,0.423936006461362,"positive"
2.168,106.93608,0.480417096827889,"positive"
0.393,107.08582,0.465455982404617,"positive"
2.166,107.16379,0.533272934621918,"positive"
2.165,107.38886,0.729743256836863,"positive"
2.162,107.61481,0.9516663904415,"positive"
2.16,107.84584,0.937604910326976,"positive"
2.159,108.06794,0.573776489730332,"positive"
0.466,108.08077,0.800590837031206,"positive"
2.157,108.30134,0.186467924574597,"positive"
2.151,108.52901,0.274468016992193,"positive"
2.15,108.75988,0.217427551647372,"positive"
2.147,108.98804,0.210319081228419,"positive"
0.477,109.05217,0.420768843327408,"positive"
0.342,109.06502,0.406723705655054,"positive"
0.364,109.10152,0.223052824601796,"positive"
2.146,109.2179,0.363916082377723,"positive"
2.143,109.44731,0.344242964190881,"positive"
2.142,109.67687,0.258650810519173,"positive"
2.14,109.90353,0.99348568052817,"positive"
0.496,110.05989,0.301791087558881,"positive"
2.266,110.06019,0.256602236609492,"positive"
2.136,110.1381,0.97945512956602,"positive"
2.139,110.36951,0.76706476419617,"positive"
0.343,111.00775,0.438510004637169,"positive"
1.861,112.15667,0.608252086113435,"positive"
1.715,113.035,0.00135381775858111,"positive"
0.348,113.05947,0.568421020088168,"positive"
0.34,113.13261,0.380747939419002,"positive"
1.862,113.16318,0.526735301531354,"positive"
1.616,113.21198,0.59355071917413,"positive"
0.507,113.32288,0.906494935944431,"positive"
0.514,113.55626,0.852385399734699,"positive"
0.5,113.78805,0.861173971989325,"positive"
1.614,114.06643,0.864862136001632,"positive"
0.648,114.09118,0.691041168078958,"positive"
0.363,114.09138,0.772562885032578,"positive"
0.492,114.09152,0.536730006642024,"positive"
1.616,114.12039,0.867258250255454,"positive"
1.614,114.23409,0.921982107213732,"positive"
0.492,114.25895,0.522325356179443,"positive"
1.613,114.25925,0.901433109340014,"positive"
1.616,114.30625,0.944990731040348,"positive"
1.615,114.36029,0.905506826825554,"positive"
0.491,114.38511,0.476118363371193,"positive"
1.614,114.41435,0.951269716408311,"positive"
0.492,114.4392,0.588723923116499,"positive"
1.615,114.55095,0.963446143701224,"positive"
0.386,115.05439,0.758035229749359,"positive"
0.359,115.07569,0.875534385546878,"positive"
3.464,115.08629,0.180071832568521,"positive"
0.845,116.07045,0.864164298274436,"positive"
6.049,116.07046,0.303363060967905,"positive"
0.428,116.07064,0.8642243447842,"positive"
4.149,116.07081,0.20970703368902,"positive"
1.187,116.10693,0.457171942491789,"positive"
3.404,117.0569,0.451997267859619,"positive"
2.079,117.05798,0.41188350409263,"positive"
0.391,117.0704,0.793746203284192,"positive"
0.421,117.10248,0.0999077738381236,"positive"
3.483,117.21227,0.519832296800701,"positive"
2.094,118.06514,0.408267178292578,"positive"
0.366,118.06523,0.789041744408795,"positive"
0.492,118.06548,0.237596121276022,"positive"
4.149,118.08601,0.347137305641647,"positive"
4.034,118.0861,0.826468414465348,"positive"
3.014,118.08619,0.680554690558214,"positive"
2.917,118.08621,0.768939547803428,"positive"
0.617,118.08635,0.429612314508209,"positive"
3.476,118.08648,0.495747075755381,"positive"
1.589,118.12274,0.0960921961392934,"positive"
3.475,118.25712,0.361637434302234,"positive"
3.474,118.28308,0.777004382472196,"positive"
3.472,118.33043,0.483130638047093,"positive"
3.475,118.38533,0.612307838082776,"positive"
3.475,118.44044,0.863573834153002,"positive"
3.472,118.53564,0.337562848023973,"positive"
3.471,118.7309,0.738735789490603,"positive"
0.439,119.06017,0.841835172679717,"positive"
0.393,119.0857,0.990483222111093,"positive"
3.475,119.08971,0.336088193078414,"positive"
4.715,120.06538,0.720106285941649,"positive"
1.174,120.06559,0.306539848873923,"positive"
3.399,120.08084,0.155664960761217,"positive"
